OM	Baseline    Std
0	3547.29	1.99174
1	3552.07	1.86667
2	3554.19	1.73458
3	3552.07	1.68696
4	3561.6	1.73609
5	3557.13	1.75066
6	3545	1.86179
7	3540.03	1.66822
8	3551.95	1.90028
9	3551.46	1.77943
10	3558.25	1.93107
11	3556.27	1.76299
13	3551.18	1.78447
14	3540.05	1.86902
15	3556.87	1.88856
16	3558.18	1.73187
17	3537.7	1.90773
18	3542.48	2.00145
19	3565.42	1.65059
20	3556.78	1.76888
21	3545.26	1.67819
22	3540.97	1.7854
23	3551.76	1.58701
24	3543.6	1.84879
25	3546.86	1.68325
26	3557.46	1.91566
27	3548.85	2.10865
28	3548.96	1.57131
29	3543.95	1.69967
30	3554.17	1.76304
31	3560.77	1.89641
32	3534.09	2.0192
33	3542.78	1.60818
34	3549.5	1.78941
35	3548.93	1.80652
36	3545.98	1.81061
37	3560.36	1.81497
38	3543	1.71951
39	3554.58	1.974
40	3549.27	2.06466
41	3536.71	1.9987
42	3541.53	1.79275
43	3555.18	1.81711
44	3544.66	1.89739
45	3554.56	1.73923
46	3555.22	1.91562
47	3543.61	1.75011
48	3541.84	1.87523
49	3554.91	1.89173
50	3552.77	1.67947
51	3567.33	1.60734
52	3539.03	1.71094
53	3555.28	1.77375
54	3542.01	1.8502
55	3549.54	1.86998
56	3557.26	1.84251
57	3551.02	1.73151
58	3548.04	1.78133
59	3551.57	1.60309
60	3550	1.96481
61	3541.65	1.88933
62	3558.05	1.86916
63	3556.89	1.72809
64	3552.33	1.65573
65	3543.99	1.78963
66	3543.17	1.93073
67	3542.88	2.11453
68	3544.65	1.83595
69	3547.82	1.73014
70	3543.12	1.73268
71	3542.24	1.73771
72	3538.62	1.68756
73	3554.09	1.71454
74	3547.73	1.73145
75	3542.51	1.73453
76	3548.73	1.97645
77	3546.85	1.74167
78	3547.52	1.5492
79	3549.59	1.79017
80	3549.24	1.97353
81	3551.65	1.97523
82	3543.32	1.68349
83	3544.19	1.78417
84	3556.36	1.96768
85	3552.01	1.8145
86	3549.12	1.74142
87	3542.64	1.71519
88	3540.9	1.83246
89	3543.13	1.74556
90	3567.62	1.73954
91	3542.97	1.85221
92	3538.53	1.76126
93	3549.31	1.76643
94	3546.23	1.73666
95	3548.73	1.79509
96	3533.98	1.81498
97	3553.19	1.94679
98	3557.63	1.79037
99	3553.31	1.62246
100	3542.54	1.87491
101	3553.51	2.00444
102	3548.22	1.8019
103	3552.26	1.82455
104	3550.47	1.76192
105	3548.4	1.97685
106	3540.35	1.83344
107	3539.32	1.72294
108	3558.68	1.89735
109	3550.4	1.93998
110	3553.05	1.93486
111	3564.47	1.74089
112	3541.48	1.59552
113	3544.28	1.79176
114	3552.78	1.7819
115	3552.46	1.75934
116	3540.46	1.67985
117	3542.47	1.69453
118	3545.41	1.92744
119	3551.58	2.17705
120	3553.62	1.89099
121	3566.11	1.9997
122	3541.02	1.61918
123	3546.61	1.77284
124	3547.28	1.87319
125	3560.06	1.79035
126	3546.64	2.21614
127	3549.18	1.80674
128	3539.82	1.93718
129	3550.06	1.59699
130	3546.79	1.9028
131	3539.9	1.92673
132	3551.41	2.02871
133	3547.29	1.66887
134	3551.47	1.7583
135	3548.74	1.77402
136	3551.23	1.80786
